dataset,table_name,column_name,data_type,ordinal_position
postgresqldim9000,order_reviews,validation_status,STRING,12
postgresqldim9000,order_tasks,watcher_id,STRING,1
postgresqldim9000,order_tasks,author_id,STRING,2
postgresqldim9000,order_tasks,validity,INT64,3
postgresqldim9000,order_tasks,id,INT64,4
postgresqldim9000,order_tasks,responsible_id,STRING,5
postgresqldim9000,order_tasks,_sdc_table_version,INT64,6
postgresqldim9000,order_tasks,order_id,INT64,7
postgresqldim9000,order_tasks,updated_at,TIMESTAMP,8
postgresqldim9000,order_tasks,status,STRING,9
postgresqldim9000,order_tasks,assignee_id,STRING,10
postgresqldim9000,order_tasks,_sdc_received_at,TIMESTAMP,11
postgresqldim9000,order_tasks,supplier_id,STRING,12
postgresqldim9000,order_tasks,_sdc_sequence,INT64,13
postgresqldim9000,order_tasks,estimated_complete_date,TIMESTAMP,14
postgresqldim9000,order_tasks,created_at,TIMESTAMP,15
postgresqldim9000,order_tasks,category,STRING,16
postgresqldim9000,order_tasks,report,STRING,17
postgresqldim9000,order_tasks,_sdc_batched_at,TIMESTAMP,18
postgresqldim9000,order_tasks,gallery_id,STRING,19
postgresqldim9000,order_tasks,completed_at,TIMESTAMP,20
postgresqldim9000,order_tasks,description,STRING,21
postgresqldim9000,order_tasks,planned_complete_date,TIMESTAMP,22
postgresqldim9000,orders,deadline,TIMESTAMP,1
postgresqldim9000,orders,topic_id,STRING,2
postgresqldim9000,orders,citizen_id,STRING,3
postgresqldim9000,orders,validity,INT64,4
postgresqldim9000,orders,id,INT64,5
postgresqldim9000,orders,space_id,STRING,6
postgresqldim9000,orders,_sdc_table_version,INT64,7
postgresqldim9000,orders,created_by_id,STRING,8
postgresqldim9000,orders,updated_at,TIMESTAMP,9
postgresqldim9000,orders,status,STRING,10
postgresqldim9000,orders,_sdc_received_at,TIMESTAMP,11
postgresqldim9000,orders,_sdc_sequence,INT64,12
postgresqldim9000,orders,cancellation_reason,STRING,13
postgresqldim9000,orders,type,STRING,14
postgresqldim9000,orders,parent_id,INT64,15
postgresqldim9000,orders,created_at,TIMESTAMP,16
postgresqldim9000,orders,category,STRING,17
postgresqldim9000,orders,_sdc_batched_at,TIMESTAMP,18
postgresqldim9000,orders,answer,STRING,19
postgresqldim9000,orders,gallery_id,STRING,20
postgresqldim9000,orders,completed_at,TIMESTAMP,21
postgresqldim9000,orders,description,STRING,22
postgresqldim9000,orders,media_id,STRING,23
postgresqldim9000,orders,planned_deadline,TIMESTAMP,24
postgresqldim9000,orders,is_answer_generated,BOOL,25
postgresqldim9000,orders,unread_messages_count,INT64,26
postgresqldim9000,paid_order_name_complex,paid_order_name_id,INT64,1
postgresqldim9000,paid_order_name_complex,complex_id,STRING,2
postgresqldim9000,paid_order_name_complex,_sdc_sequence,INT64,3
postgresqldim9000,paid_order_name_complex,_sdc_table_version,INT64,4
postgresqldim9000,paid_order_name_complex,_sdc_received_at,TIMESTAMP,5
postgresqldim9000,paid_order_name_complex,_sdc_batched_at,TIMESTAMP,6
postgresqldim9000,paid_order_names,id,INT64,1
postgresqldim9000,paid_order_names,name,STRING,2
postgresqldim9000,paid_order_names,_sdc_table_version,INT64,3
postgresqldim9000,paid_order_names,updated_at,TIMESTAMP,4
postgresqldim9000,paid_order_names,min_price,NUMERIC,5
postgresqldim9000,paid_order_names,estimated_duration,STRING,6
postgresqldim9000,paid_order_names,_sdc_received_at,TIMESTAMP,7
postgresqldim9000,paid_order_names,_sdc_sequence,INT64,8
postgresqldim9000,paid_order_names,created_at,TIMESTAMP,9
postgresqldim9000,paid_order_names,_sdc_batched_at,TIMESTAMP,10
postgresqldim9000,paid_order_names,description,STRING,11
postgresqldim9000,paid_order_names,icon,STRING,12
postgresqldim9000,paid_order_names,sort_order,INT64,13
postgresqldim9000,paid_order_reviews,id,STRING,1
postgresqldim9000,paid_order_reviews,_sdc_table_version,INT64,2
postgresqldim9000,paid_order_reviews,order_id,INT64,3
postgresqldim9000,paid_order_reviews,updated_at,TIMESTAMP,4
postgresqldim9000,paid_order_reviews,_sdc_received_at,TIMESTAMP,5
postgresqldim9000,paid_order_reviews,_sdc_sequence,INT64,6
postgresqldim9000,paid_order_reviews,created_at,TIMESTAMP,7
postgresqldim9000,paid_order_reviews,comment,STRING,8
postgresqldim9000,paid_order_reviews,rating,INT64,9
postgresqldim9000,paid_order_reviews,_sdc_batched_at,TIMESTAMP,10
postgresqldim9000,paid_order_reviews,is_invalid,BOOL,11
postgresqldim9000,paid_order_reviews,validation_status,STRING,12
postgresqldim9000,paid_order_tasks,watcher_id,STRING,1
postgresqldim9000,paid_order_tasks,author_id,STRING,2
postgresqldim9000,paid_order_tasks,validity,INT64,3
postgresqldim9000,paid_order_tasks,id,INT64,4
postgresqldim9000,paid_order_tasks,responsible_id,STRING,5
postgresqldim9000,paid_order_tasks,_sdc_table_version,INT64,6
postgresqldim9000,paid_order_tasks,order_id,INT64,7
postgresqldim9000,paid_order_tasks,updated_at,TIMESTAMP,8
postgresqldim9000,paid_order_tasks,status,STRING,9
postgresqldim9000,paid_order_tasks,assignee_id,STRING,10
postgresqldim9000,paid_order_tasks,_sdc_received_at,TIMESTAMP,11
postgresqldim9000,paid_order_tasks,_sdc_sequence,INT64,12
postgresqldim9000,paid_order_tasks,estimated_complete_date,TIMESTAMP,13
postgresqldim9000,paid_order_tasks,created_at,TIMESTAMP,14
postgresqldim9000,paid_order_tasks,category,STRING,15
postgresqldim9000,paid_order_tasks,report,STRING,16
postgresqldim9000,paid_order_tasks,_sdc_batched_at,TIMESTAMP,17
postgresqldim9000,paid_order_tasks,gallery_id,STRING,18
postgresqldim9000,paid_order_tasks,completed_at,TIMESTAMP,19
postgresqldim9000,paid_order_tasks,description,STRING,20
postgresqldim9000,paid_order_tasks,planned_complete_date,TIMESTAMP,21
postgresqldim9000,paid_orders,deadline,TIMESTAMP,1
postgresqldim9000,paid_orders,citizen_id,STRING,2
postgresqldim9000,paid_orders,validity,INT64,3
postgresqldim9000,paid_orders,id,INT64,4
postgresqldim9000,paid_orders,space_id,STRING,5
postgresqldim9000,paid_orders,_sdc_table_version,INT64,6
postgresqldim9000,paid_orders,created_by_id,STRING,7
postgresqldim9000,paid_orders,updated_at,TIMESTAMP,8
postgresqldim9000,paid_orders,status,STRING,9
postgresqldim9000,paid_orders,name_id,INT64,10
postgresqldim9000,paid_orders,_sdc_received_at,TIMESTAMP,11
postgresqldim9000,paid_orders,_sdc_sequence,INT64,12
postgresqldim9000,paid_orders,cancellation_reason,STRING,13
postgresqldim9000,paid_orders,created_at,TIMESTAMP,14
postgresqldim9000,paid_orders,_sdc_batched_at,TIMESTAMP,15
postgresqldim9000,paid_orders,answer,STRING,16
postgresqldim9000,paid_orders,payment_status,STRING,17
postgresqldim9000,paid_orders,completed_at,TIMESTAMP,18
postgresqldim9000,paid_orders,description,STRING,19
postgresqldim9000,paid_orders,gallery_id,STRING,20
postgresqldim9000,paid_orders,planned_deadline,TIMESTAMP,21
postgresqldim9000,paid_orders,is_answer_generated,BOOL,22
postgresqldim9000,paid_orders,media_id,STRING,23
postgresqldim9000,paid_task_comments,task_id,INT64,1
postgresqldim9000,paid_task_comments,author_id,STRING,2
postgresqldim9000,paid_task_comments,id,STRING,3
postgresqldim9000,paid_task_comments,_sdc_table_version,INT64,4
postgresqldim9000,paid_task_comments,updated_at,TIMESTAMP,5
postgresqldim9000,paid_task_comments,_sdc_received_at,TIMESTAMP,6
postgresqldim9000,paid_task_comments,_sdc_sequence,INT64,7
postgresqldim9000,paid_task_comments,created_at,TIMESTAMP,8
postgresqldim9000,paid_task_comments,comment,STRING,9
postgresqldim9000,paid_task_comments,_sdc_batched_at,TIMESTAMP,10
postgresqldim9000,paid_tasks_locations,floor,INT64,1
postgresqldim9000,paid_tasks_locations,section_id,STRING,2
postgresqldim9000,paid_tasks_locations,task_id,INT64,3
postgresqldim9000,paid_tasks_locations,id,STRING,4
postgresqldim9000,paid_tasks_locations,space_id,STRING,5
postgresqldim9000,paid_tasks_locations,_sdc_table_version,INT64,6
postgresqldim9000,paid_tasks_locations,updated_at,TIMESTAMP,7
